lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,val_loss,val_f1
2.9591549295774652e-05,2.9591549295774652e-05,4999,,,,
,,4999,0.0001953903556568548,14,,
2.8887323943661975e-05,2.8887323943661975e-05,5049,,,,
,,5049,0.0070014637894928455,14,,
2.8183098591549297e-05,2.8183098591549297e-05,5099,,,,
,,5099,0.0005893805646337569,14,,
2.747887323943662e-05,2.747887323943662e-05,5149,,,,
,,5149,0.0010446107480674982,14,,
2.6774647887323944e-05,2.6774647887323944e-05,5199,,,,
,,5199,0.00021710197324864566,14,,
2.607042253521127e-05,2.607042253521127e-05,5249,,,,
,,5249,0.00013578045764006674,14,,
2.5366197183098595e-05,2.5366197183098595e-05,5299,,,,
,,5299,0.00010513669258216396,14,,
2.4661971830985918e-05,2.4661971830985918e-05,5349,,,,
,,5349,0.0005505447625182569,15,,
2.395774647887324e-05,2.395774647887324e-05,5399,,,,
,,5399,0.0009754644124768674,15,,
2.3253521126760562e-05,2.3253521126760562e-05,5449,,,,
,,5449,0.0003235821204725653,15,,
2.2549295774647887e-05,2.2549295774647887e-05,5499,,,,
,,5499,0.000430983433034271,15,,
2.1845070422535213e-05,2.1845070422535213e-05,5549,,,,
,,5549,0.00045239314204081893,15,,
2.1140845070422535e-05,2.1140845070422535e-05,5599,,,,
,,5599,0.002163814613595605,15,,
2.043661971830986e-05,2.043661971830986e-05,5649,,,,
,,5649,0.0003621426585596055,15,,
1.9732394366197186e-05,1.9732394366197186e-05,5699,,,,
,,5699,0.00018133115372620523,16,,
1.9028169014084508e-05,1.9028169014084508e-05,5749,,,,
,,5749,0.000213212551898323,16,,
1.832394366197183e-05,1.832394366197183e-05,5799,,,,
,,5799,0.00021963365725241601,16,,
1.7619718309859156e-05,1.7619718309859156e-05,5849,,,,
,,5849,0.0001257338299183175,16,,
1.6915492957746478e-05,1.6915492957746478e-05,5899,,,,
,,5899,0.0004018128092866391,16,,
1.6211267605633804e-05,1.6211267605633804e-05,5949,,,,
,,5949,0.0003661086375359446,16,,
1.550704225352113e-05,1.550704225352113e-05,5999,,,,
,,5999,0.00017852471501100808,16,,
1.4802816901408451e-05,1.4802816901408451e-05,6049,,,,
,,6049,0.0004161292454227805,17,,
1.4098591549295775e-05,1.4098591549295775e-05,6099,,,,
,,6099,6.1000187997706234e-05,17,,
1.33943661971831e-05,1.33943661971831e-05,6149,,,,
,,6149,0.00010815557470778003,17,,
1.2690140845070423e-05,1.2690140845070423e-05,6199,,,,
,,6199,0.0001008611943689175,17,,
1.1985915492957747e-05,1.1985915492957747e-05,6249,,,,
,,6249,0.00031469526584260166,17,,
1.128169014084507e-05,1.128169014084507e-05,6299,,,,
,,6299,0.0001270710927201435,17,,
1.0577464788732396e-05,1.0577464788732396e-05,6349,,,,
,,6349,0.00022416171850636601,17,,
9.873239436619718e-06,9.873239436619718e-06,6399,,,,
,,6399,0.000117832089017611,18,,
9.169014084507042e-06,9.169014084507042e-06,6449,,,,
,,6449,0.0011377653572708368,18,,
8.464788732394368e-06,8.464788732394368e-06,6499,,,,
,,6499,0.002264025155454874,18,,
7.760563380281691e-06,7.760563380281691e-06,6549,,,,
,,6549,0.00010605201532598585,18,,
7.056338028169014e-06,7.056338028169014e-06,6599,,,,
,,6599,0.00023519998649135232,18,,
6.352112676056337e-06,6.352112676056337e-06,6649,,,,
,,6649,0.00010622567788232118,18,,
5.647887323943662e-06,5.647887323943662e-06,6699,,,,
,,6699,9.02631800272502e-05,18,,
4.943661971830986e-06,4.943661971830986e-06,6749,,,,
,,6749,0.0004566754214465618,19,,
4.23943661971831e-06,4.23943661971831e-06,6799,,,,
,,6799,0.00021499255672097206,19,,
3.5352112676056344e-06,3.5352112676056344e-06,6849,,,,
,,6849,0.02140490524470806,19,,
2.830985915492958e-06,2.830985915492958e-06,6899,,,,
,,6899,0.00014904362615197897,19,,
2.1267605633802817e-06,2.1267605633802817e-06,6949,,,,
,,6949,0.0002189194201491773,19,,
1.4225352112676057e-06,1.4225352112676057e-06,6999,,,,
,,6999,0.00017598499835003167,19,,
7.183098591549296e-07,7.183098591549296e-07,7049,,,,
,,7049,8.12449143268168e-05,19,,
1.4084507042253522e-08,1.4084507042253522e-08,7099,,,,
,,7099,0.00028769735945388675,19,,
,,7099,,19,0.24422763288021088,74.93685499325079
